Model,Power_kW,Torque_Nm,Power_Benchmark_RPM,Torque_Benchmark_RPM,Compression_Enumerator,Weight_kg,Fuel_system,Gearbox,Engine_type,Throttle_pct,RPM,Gear,Speed_kmh,Consumption_L100km,Mileage_km_per_liter
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,7,6537,0,4.6,4.014,24.91
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,5,5656,0,2.8,3.436,29.1
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,48,4673,0,22.4,7.493,13.35
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,23,3395,0,7.8,4.177,23.94
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,22,7537,0,16.6,6.54,15.29
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,75,6855,0,51.4,12.869,7.77
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,34,4251,0,14.5,5.818,17.19
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,60,7326,0,44.0,11.366,8.8
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,84,3239,0,27.2,9.305,10.75
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,38,8583,0,32.6,9.491,10.54
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,74,8656,0,64.1,14.809,6.75
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,56,3056,0,17.1,6.852,14.59
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,84,8239,0,69.2,15.981,6.26
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,27,1474,0,4.0,3.254,30.73
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,35,1981,0,6.9,4.26,23.47
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,15,7761,0,11.6,5.527,18.09
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,61,7917,0,48.3,12.102,8.26
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,88,6562,0,57.7,14.243,7.02
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,19,4195,0,8.0,4.195,23.84
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,51,4792,0,24.4,7.815,12.8
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,60,3287,0,19.7,7.39,13.53
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,94,2976,0,28.0,9.678,10.33
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,20,1613,0,3.2,2.968,33.69
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,38,2705,0,10.3,4.932,20.28
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,78,8479,0,66.1,15.212,6.57
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,38,7308,0,27.8,8.408,11.89
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,91,2835,0,25.8,9.316,10.73
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,83,7439,0,61.7,14.54,6.88
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,62,4387,0,27.2,8.599,11.63
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,50,7377,0,36.9,10.229,9.78
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,12,4103,0,4.9,3.511,28.48
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,57,7396,0,42.2,10.979,9.11
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,27,1229,0,3.3,3.108,32.18
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,52,2184,0,11.4,5.706,17.53
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,55,3939,0,21.7,7.404,13.51
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,98,8493,0,83.2,18.255,5.48
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,18,4264,0,7.7,4.276,23.39
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,7,4592,0,3.2,3.257,30.7
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,53,2818,0,14.9,6.195,16.14
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,38,6523,0,24.8,7.884,12.68
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,92,2190,0,20.1,8.566,11.67
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,44,7184,0,31.6,9.142,10.94
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,73,2604,0,19.0,7.71,12.97
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,17,8703,0,14.8,6.21,16.1
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,92,1994,0,18.3,8.206,12.19
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,92,1864,0,17.1,7.986,12.52
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,26,3991,0,10.4,4.777,20.93
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,80,2270,0,18.2,7.864,12.72
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,83,6659,0,55.3,13.795,7.25
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,39,1839,0,7.2,4.436,22.54
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,7,6137,0,4.3,3.969,25.2
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,32,5787,0,18.5,6.689,14.95
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,47,7582,0,35.6,9.865,10.14
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,59,6876,0,40.6,10.984,9.1
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,27,3976,0,10.7,5.036,19.86
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,36,6727,0,24.2,7.653,13.07
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,23,1355,0,3.1,2.977,33.59
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,11,4907,0,5.4,3.783,26.43
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,21,8183,0,17.2,6.614,15.12
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,38,7676,0,29.2,8.819,11.34
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,64,2939,0,18.8,7.331,13.64
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,92,5240,0,48.2,12.669,7.89
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,19,5778,0,11.0,5.053,19.79
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,83,7453,0,61.9,14.683,6.81
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,86,5745,0,49.4,12.965,7.71
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,9,4890,0,4.4,3.546,28.2
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,24,3353,0,8.0,4.189,23.87
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,37,2682,0,9.9,5.013,19.95
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,69,3880,0,26.8,8.763,11.41
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,16,8033,0,12.9,5.745,17.41
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,77,7048,0,54.3,13.272,7.53
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,52,3439,0,17.9,6.728,14.86
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,100,5510,0,55.1,14.223,7.03
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,84,4188,0,35.2,10.634,9.4
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,80,6012,0,48.1,12.592,7.94
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,38,3110,0,11.8,5.26,19.01
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,50,3660,0,18.3,6.653,15.03
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,77,2894,0,22.3,8.181,12.22
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,90,1306,0,11.8,7.074,14.14
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,23,7651,0,17.6,6.554,15.26
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,12,6884,0,8.3,4.805,20.81
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,72,2823,0,20.3,7.733,12.93
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,89,2713,0,24.1,8.908,11.23
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,43,6895,0,29.6,8.72,11.47
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,48,3188,0,15.3,6.136,16.3
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,7,5037,0,3.5,3.552,28.15
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,64,7454,0,47.7,12.069,8.29
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,54,3628,0,19.6,7.211,13.87
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,96,5293,0,50.8,13.182,7.59
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,62,2528,0,15.7,6.808,14.69
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,64,1761,0,11.3,6.039,16.56
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,68,7641,0,52.0,12.998,7.69
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,60,3773,0,22.6,7.794,12.83
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,50,8708,0,43.5,11.438,8.74
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,10,4267,0,4.3,3.341,29.93
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,78,2655,0,20.7,7.922,12.62
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,66,2655,0,17.5,7.088,14.11
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,86,4631,0,39.8,11.479,8.71
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,61,8572,0,52.3,12.727,7.86
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,48,6466,0,31.0,9.215,10.85
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,43,4276,0,18.4,6.729,14.86
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,15,7233,0,10.8,5.36,18.66
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,21,1661,0,3.5,3.063,32.65
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,35,8000,0,28.0,8.628,11.59
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,14,7858,0,11.0,5.459,18.32
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,86,7801,0,67.1,15.466,6.47
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,97,5414,0,52.5,13.546,7.38
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,74,5605,0,41.5,11.124,8.99
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,25,4315,0,10.8,4.92,20.33
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,80,4125,0,33.0,10.09,9.91
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,51,6709,0,34.2,9.652,10.36
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,24,5798,0,13.9,5.732,17.45
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,56,3406,0,19.1,7.068,14.15
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,92,2901,0,26.7,9.616,10.4
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,18,6778,0,12.2,5.443,18.37
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,41,7789,0,31.9,9.134,10.95
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,6,1955,0,1.2,2.313,43.23
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,33,1753,0,5.8,3.853,25.95
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,44,7359,0,32.4,9.196,10.87
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,16,6708,0,10.7,5.246,19.06
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,40,8534,0,34.1,9.748,10.26
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,13,3420,0,4.4,3.2,31.25
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,87,4236,0,36.9,10.932,9.15
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,8,4418,0,3.5,3.235,30.91
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,53,8481,0,44.9,11.678,8.56
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,64,5421,0,34.7,9.927,10.07
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,51,2638,0,13.5,6.057,16.51
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,82,6944,0,56.9,13.95,7.17
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,88,4003,0,35.2,10.765,9.29
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,30,3686,0,11.1,4.953,20.19
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,54,2728,0,14.7,6.285,15.91
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,73,8912,0,65.1,14.949,6.69
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,99,4450,0,44.1,12.368,8.09
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,76,1250,0,9.5,6.314,15.84
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,97,8537,0,82.8,18.183,5.5
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,94,4190,0,39.4,11.494,8.7
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,15,7261,0,10.9,5.498,18.19
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,21,4038,0,8.5,4.416,22.64
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,37,6249,0,23.1,7.563,13.22
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,44,8949,0,39.4,10.78,9.28
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,39,2915,0,11.4,5.264,19.0
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,78,3492,0,27.2,9.059,11.04
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,53,8599,0,45.6,11.639,8.59
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,27,4030,0,10.9,4.822,20.74
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,76,2793,0,21.2,8.127,12.3
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,49,6651,0,32.6,9.351,10.69
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,54,7890,0,42.6,11.204,8.93
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,100,2796,0,28.0,9.918,10.08
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,81,1676,0,13.6,7.081,14.12
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,9,6958,0,6.3,4.528,22.08
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,34,7063,0,24.0,7.816,12.79
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,100,1500,0,15.0,8.125,12.31
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,20,4383,0,8.8,4.579,21.84
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,9,2778,0,2.5,2.85,35.09
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,87,4962,0,43.2,11.839,8.45
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,19,3470,0,6.6,3.839,26.05
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,70,8569,0,60.0,14.265,7.01
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,20,2078,0,4.2,3.282,30.47
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,81,2465,0,20.0,8.028,12.46
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,19,3525,0,6.7,4.022,24.86
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,15,8823,0,13.2,6.245,16.01
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,32,4067,0,13.0,5.387,18.56
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,10,1948,0,1.9,2.365,42.28
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,15,1013,0,1.5,2.207,45.31
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,62,3840,0,23.8,8.004,12.49
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,22,8998,0,19.8,7.151,13.98
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,50,2377,0,11.9,5.583,17.91
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,84,8677,0,72.9,16.586,6.03
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,19,1546,0,2.9,2.918,34.27
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,68,7912,0,53.8,13.059,7.66
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,18,2863,0,5.2,3.429,29.16
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,90,5726,0,51.5,13.336,7.5
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,39,2695,0,10.5,4.965,20.14
AJS Modena 125,5.2,7.5,7500.0,6500.0,10.44,234.18,Carburettor,Automatic,Single,52,2824,0,14.7,6.272,15.94
